62880 - 79917, abraham-schacht - abraham-schacht
62882 - 80564, achdorf - achdorf
62884 - 80134, adam heber fundgrube - adam-heber-fundgrube
62888 - 65273, Adolfshöhe - grube-adolfshohe1
62892 - 81688, Alabastergrube Kochenfeld - alabastergrube
62896 - 80124, Alexanderschacht - alexanderschacht
62934 - 64853, alte-zentralaufbereitung-grube-himmelfahrt-david-schacht - david-schacht
62934 - 79914, alte-zentralaufbereitung-grube-himmelfahrt-david-schacht - alte-zentralaufbereitung-grube-himmelfahrt-david-schacht
62934 - 79916, alte-zentralaufbereitung-grube-himmelfahrt-david-schacht - david-schacht
62958 - 81283, altvaterbrucke - altvaterbrucke
62963 - 88893, am-stolleneingang - schieferstollen
62968 - 82370, an-der-schanz - an-der-schanz
62969 - 82734, an-der-seilbahn - an-der-seilbahn
62974 - 81282, anna-und-altvater - anna-und-altvater
62988 - 84445, astrolithbruch - astrolithbruch
63000 - 81222, auferstehung-christi - auferstehung-christi
63002 - 88874, Stollenmund - schieferstollen
63009 - 63010, ausweichsitz - ausweichsitz-eingang-101-ost
63027 - 80501, basaltbruch-rothenhof - basaltbruch-rothenhof
63028 - 84711, basaltfacher-am-hirtstein - basaltfacher-am-hirtstein
63034 - 84452, basaltsteinbruch-barenstein - basaltsteinbruch-barenstein
63035 - 84461, basaltsaulen-pohlberg - basaltsaulen-pohlberg
63036 - 84710, basaltsaulen-scheibenberg - basaltsaulen-scheibenberg
63038 - 83933, bauer-neu-schacht - bauer-neu-schacht
63039 - 65286, bauergrube - grube-anna2
63039 - 65553, bauergrube - grube-stullner-berg-i
63040 - 81890, baufeld-groitzscher-dreieck - baufeld-groitzscher-dreieck
63041 - 81888, baufeld-peres - baufeld-peres
63042 - 81889, baufeld-schleenhain - baufeld-schleenhain
63051 - 79732, beihilfe-erbstolln - beihilfe-erbstolln
63052 - 80601, belchen - belchen
63053 - 84584, bellenwald - bellenwald
63056 - 79630, bergbau-bei-hering - bergbau-bei-hering
63074 - 84053, bernsteinschacht-schacht-70 - bernsteinschacht-schacht-70
63107 - 88873, blick-aus-dem-stollen - schieferstollen
63109 - 88845, blick-in-den-stollen2 - schieferstollen
63110 - 88871, blick-in-den-stollen3 - schieferstollen
63119 - 88848, blick-in-einen-stollen4 - schieferstollen
63123 - 81945, bobenthal - bobenthal
63140 - 81884, bockwitzer-see - bockwitzer-see
63148 - 80506, brandenburgischer-adler - brandenburgischer-adler
63157 - 63158, brensdorf - brensdorf1
